date,result,buy_sell,count,price_count,up,none,down,false
2017-02-03,2116978900,2628816718480,2002,2002,996,152,854,0
2017-02-02,2128180600,2570331963170,2002,2002,296,71,1635,0
2017-02-01,2032173300,2528135051900,2002,2002,1162,146,694,0
2017-01-31,1997469000,2486729788330,2002,2002,396,88,1518,0
2017-01-30,1532743100,1924062303590,2002,2002,848,151,1003,0
2017-01-27,1947166900,2430418710760,2002,2002,1003,141,858,0
2017-01-26,2300008900,2742357633720,2002,2002,1599,94,309,0
2017-01-25,1934342300,2234487793060,2002,2002,1529,88,385,0
2017-01-24,1866884800,2275705440630,2002,2002,802,116,1084,0
2017-01-23,1777705000,2200518801110,2003,2003,375,74,1554,0
2017-01-20,1791406200,2064969306580,2003,2003,1152,142,709,0
2017-01-19,2254446300,2266671431910,2004,2004,1546,94,364,0
2017-01-18,1818261300,2228223653470,2004,2004,930,145,929,0
2017-01-17,1710560200,2094276847130,2004,2004,149,56,1799,0
2017-01-16,1469555000,1887260455340,2004,2004,323,80,1601,0
2017-01-13,1600208400,2256606996600,2004,2004,1211,180,613,0
2017-01-12,2007009800,2376195502380,2004,2004,327,77,1600,0
2017-01-11,1944339900,2180167848840,2004,2004,996,145,863,0
2017-01-10,1894675600,2599282256030,2004,2004,758,115,1131,0
2017-01-06,1861890600,2353737073540,2004,2004,1008,132,864,0
2017-01-05,2046387900,2435964110040,2004,2004,979,162,863,0
2017-01-04,2375732900,2685168801070,2004,2004,1851,31,121,1
2016-12-30,1667860100,1712533815490,2003,2003,1071,164,768,0
2016-12-29,2249148700,2079643131660,2003,2003,342,90,1571,0
2016-12-28,1311437700,1559110747020,2003,2003,1413,109,481,0
2016-12-27,1749658500,1835463831070,2006,2006,781,149,1076,0
2016-12-26,1441866900,1630281120630,2005,2005,848,117,1040,0
2016-12-22,1871386100,2159080185740,2001,2001,852,159,990,0
2016-12-21,2102493000,2419518742190,2001,2001,471,113,1417,0
2016-12-20,1929729800,2338890377600,1999,1999,1230,143,626,0
2016-12-19,1737430000,2143750960550,1999,1999,856,121,1022,0
2016-12-16,2310080400,2908249813650,1998,1998,1208,134,656,0
2016-12-15,2324639600,2810318226180,1998,1998,1115,138,745,0
2016-12-14,2045114700,2544858394060,1998,1998,695,136,1167,0
2016-12-13,2313004400,2838988871270,1998,1998,1395,110,493,0
2016-12-12,2955509400,3314410502850,1997,1997,1119,105,773,0
2016-12-09,3131961900,3924958218730,1993,1993,1250,137,606,0
2016-12-08,2818602300,3393040311310,1992,1992,1414,93,485,0
2016-12-07,2400660200,2691964927660,1991,1991,1483,86,422,0
2016-12-06,2391364300,2693587601170,1990,1990,1241,118,631,0
2016-12-05,2068001000,2293794604040,1990,1990,539,124,1327,0
2016-12-02,2833400800,3017848110340,1990,1990,700,118,1172,0
2016-12-01,2821416700,3291192240480,1990,1990,1137,118,735,0
2016-11-30,2671166200,3249234481180,1989,1989,1065,133,791,0
2016-11-29,1956011100,2308050025160,1989,1989,824,145,1020,0
2016-11-28,2185698300,2354672277070,1989,1989,1344,107,538,0
2016-11-25,2492782500,2722526256790,1989,1989,1030,124,835,0
2016-11-24,2367538900,2618309975110,1989,1989,1157,112,720,0
2016-11-22,1960909500,2172797183080,1988,1988,1210,127,650,1
2016-11-21,2070740200,2286785235170,1987,1986,1405,117,463,2
2016-11-18,2541067700,2724105687270,1985,1985,1333,129,523,0
2016-11-17,2370128300,2428502676930,1985,1985,1069,144,772,0
2016-11-16,2726661000,2856160716230,1985,1985,1585,86,314,0
2016-11-15,2494866300,2588617317730,1986,1986,809,138,1039,0
2016-11-14,2527662000,2644921249870,1986,1986,1622,69,295,0
2016-11-11,3395445900,3615066616490,1986,1986,784,87,1115,0
2016-11-10,3200331700,3412553454460,1986,1986,1935,3,48,0
2016-11-09,3810193700,3924272034450,1986,1986,43,9,1934,0
2016-11-08,1659715000,1776696928650,1987,1987,805,127,1055,0
2016-11-07,1761630900,1971654929590,1987,1987,1489,75,423,0
2016-11-04,2056815400,2356464428470,1986,1986,395,79,1512,0
2016-11-02,2056340400,2207916429270,1986,1986,173,45,1768,0
2016-11-01,1906022400,2109487233740,1986,1986,916,158,911,1
2016-10-31,2242639300,2329889640790,1985,1985,866,138,981,0
2016-10-28,2628819400,3133072780670,1985,1985,1370,105,510,0
2016-10-27,1701209000,1944900774760,1985,1985,910,146,929,0
2016-10-26,1589046000,1811453235320,1986,1986,1286,143,557,0
2016-10-25,1762228400,2116048506300,1986,1986,1243,157,585,1
2016-10-24,1407137400,1565830584030,1985,1985,1231,135,619,0
2016-10-21,1827501400,2032026055070,1985,1985,723,145,1117,0
2016-10-20,1851086400,2082578983660,1985,1985,1446,125,414,0
2016-10-19,1561108600,1663172482380,1985,1985,1197,164,624,0
2016-10-18,1531828100,1773184047800,1985,1985,1272,149,564,0
2016-10-17,1527031900,1633334507570,1985,1985,1204,157,624,0
2016-10-14,1626161400,1966027275900,1985,1985,1100,136,749,0
2016-10-13,1659515700,1890611870350,1985,1985,1151,133,701,0
2016-10-12,1715620800,1876126059070,1985,1985,326,96,1562,1
2016-10-11,1665165000,1871105320760,1984,1984,1132,153,699,0
2016-10-07,1512292400,1655986603970,1983,1983,732,163,1088,0
2016-10-06,1702447400,1867374249330,1981,1981,1116,151,714,0
2016-10-05,1720759300,1887895245520,1980,1980,1197,140,643,0
2016-10-04,1562829000,1752810464510,1980,1980,1404,135,441,0
2016-10-03,1496842000,1627985964480,1979,1979,1322,136,520,1
2016-09-30,1819589400,2046111194290,1978,1978,256,64,1658,0
2016-09-29,1760924000,1878902251770,1978,1978,1370,87,521,0
2016-09-28,1643828200,1821189929350,1977,1977,643,101,1233,0
2016-09-27,2239217500,2294647905130,1977,1977,1557,105,315,0
2016-09-26,1526353800,1694479868680,1977,1977,527,124,1326,0
2016-09-23,1963328400,2232723940080,1977,1977,1246,135,596,0
2016-09-21,2589027400,2715226536610,1977,1977,1837,32,108,0
2016-09-20,1795592800,2074935333860,1977,1977,932,169,876,0
2016-09-16,1894255800,2130644184150,1977,1977,1410,101,466,0
2016-09-15,1673564900,1874415776750,1975,1975,438,125,1412,0
2016-09-14,1664041300,1767250161670,1975,1975,533,161,1281,0
2016-09-13,1423708000,1666667655500,1975,1975,940,173,862,0
2016-09-12,1617841600,1791399731780,1975,1975,282,94,1599,0
2016-09-09,1764698300,2166240599590,1974,1974,739,153,1082,0
2016-09-08,1672422500,2192532931980,1973,1973,860,190,923,0
2016-09-07,1915842100,2126771227720,1973,1973,1054,173,746,0
2016-09-06,1542674100,1624911640660,1973,1973,1561,101,311,0
2016-09-05,1750103300,1740041803180,1973,1973,1098,173,702,0
2016-09-02,1644633300,1867355955230,1973,1973,854,174,945,0
2016-09-01,1843746800,1954101176250,1973,1973,1182,134,656,1
2016-08-31,2089285800,2204596581800,1972,1972,1459,109,404,0
2016-08-30,1549536500,1678344828330,1971,1971,778,164,1029,0
2016-08-29,1616679900,1802760540100,1971,1971,1543,62,366,0
2016-08-26,1546086200,2039103596970,1973,1973,350,104,1519,0
2016-08-25,1349195500,1712108054880,1973,1973,916,168,889,0
2016-08-24,1322878800,1607701463090,1973,1973,1237,149,587,0
2016-08-23,1582547400,1818162711250,1973,1973,657,120,1196,0
2016-08-22,1408194000,1627883044320,1973,1973,1412,115,446,0
2016-08-19,1752990500,2000177575910,1973,1973,982,165,826,0
2016-08-18,1876099400,2148565895730,1973,1973,304,75,1594,0
2016-08-17,1751820200,2072843061040,1973,1973,927,127,919,0
2016-08-16,1614580600,1978732714990,1973,1973,217,83,1672,1
2016-08-15,1243771900,1570128402140,1972,1972,568,144,1260,0
2016-08-12,1772929200,2136400108490,1972,1972,1268,104,600,0
2016-08-10,1700313400,2090692329630,1971,1971,792,135,1043,1
2016-08-09,1892475600,2225433745290,1970,1969,1246,142,581,1
2016-08-08,2117489000,2259319223500,1970,1970,1392,76,502,0
2016-08-05,1889577200,2198805046310,1970,1970,616,141,1213,0
